#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:dna_2" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:dna_2" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:dna_2">
#                <taxonset id="TaxonSet.dna_1" spec="beast.evolution.alignment.TaxonSet">
#                    <alignment filter="1::3" id="dna_1" spec="beast.evolution.alignment.FilteredAlignment">
#                    </alignment>
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="ClockPrior.c:dna_2" name="distribution">
#            <parameter id="clockRate.c:dna_2" name="x">1.0</parameter>
#            <Uniform id="Uniform.6" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="YuleBirthRatePrior.t:dna_2" name="distribution" x="@birthRate.t:dna_2">
#            <Uniform id="Uniform.4.dna_1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:dna_3" name="distribution">
#            <parameter id="clockRate.c:dna_3" name="x">1.0</parameter>
#            <Uniform id="Uniform.9" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:dna_1" name="distribution">
#            <parameter id="kappa.s:dna_1" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@dna_1" id="treeLikelihood.dna_1" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:dna_2">
#            <siteModel id="SiteModel.s:dna_1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:dna_1" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:dna_1" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:dna_1" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:dna_1" kappa="@kappa.s:dna_1" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:dna_1" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:dna_1" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:dna_1" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:dna_1" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#        <distribution id="treeLikelihood.dna_2" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:dna_2">
#            <data data="@dna" filter="2::3" id="dna_2" spec="beast.evolution.alignment.FilteredAlignment"/>
#            <siteModel id="SiteModel.s:dna_2" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:dna_2" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:dna_2" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:dna_2" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:dna_2" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:dna_2" id="StrictClock.c:dna_2" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#        <distribution id="treeLikelihood.dna_3" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:dna_2">
#            <data data="@dna" filter="3::3" id="dna_3" spec="beast.evolution.alignment.FilteredAlignment"/>
#            <siteModel id="SiteModel.s:dna_3" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:dna_3" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:dna_3" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:dna_3" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:dna_3" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:dna_3" id="StrictClock.c:dna_3" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.1	treeLikelihood.2	treeLikelihood.3	TreeHeight	clockRate.2	clockRate.3	YuleModel	birthRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-6585.951574199907	-6580.644542655556	-5.307031544350826	-1961.4683108608235	-1341.7081169369928	-3277.4681148577392	0.9115388677377279	1.0	1.0	-3.4416715103765387	1.0	2.0	0.25	0.25	0.25	0.25
1000	-4799.268707459944	-4804.296497324391	5.027789864445906	-1381.5711025989192	-753.274020029763	-2669.4513746957077	0.21941407653667191	0.18791841659165218	3.107692727993359	6.8931498984201935	8.993381428625632	2.0	0.24874994198411962	0.2390543386144364	0.2609456613855636	0.2512500580158804
2000	-4787.301947432427	-4793.87509575265	6.5731483202227725	-1372.4795606200596	-750.6160182843905	-2670.7795168482003	0.19055750014482592	0.2648907857670802	3.7451529169632125	8.979682154562884	8.859595608448078	3.473666617353716	0.24874994198411962	0.2390543386144364	0.2609456613855636	0.2512500580158804
3000	-4785.942471059212	-4793.000668522072	7.058197462860742	-1376.2891290225493	-751.6837646569215	-2665.027774842602	0.17560223690654567	0.27684282341204286	3.821847969584374	9.464731297200853	7.969398190260246	3.473666617353716	0.2449615368390674	0.2390543386144364	0.2647340665306158	0.2512500580158804
4000	-4785.962500161952	-4792.6424051410995	6.679904979147308	-1373.881757932405	-749.2948191946517	-2669.4658280140434	0.1785489721634183	0.3224707294169185	3.814956171067266	9.086438813487419	9.63847218993321	3.473666617353716	0.2449615368390674	0.2390543386144364	0.2647340665306158	0.2512500580158804
5000	-4791.8735022799365	-4799.242382229551	7.368879949614525	-1369.39949778673	-752.1301400588886	-2677.7127443839327	0.1742613604292878	0.23744043786188893	3.877887546217454	9.478592468152868	9.330535060732275	2.6308000731545382	0.2449615368390674	0.24356315896241945	0.2647340665306158	0.24674123766789735
6000	-4780.232599814013	-4788.415202105907	8.182602291893723	-1374.530012838107	-752.7974433917865	-2661.087745876014	0.15312555598758854	0.36379456234567764	4.214660279116853	10.292314810432066	8.110645684360751	2.6308000731545382	0.2449615368390674	0.24356315896241945	0.2647340665306158	0.24674123766789735
7000	-4792.644899928303	-4801.086099497336	8.441199569033827	-1377.9671869512767	-757.9506626152786	-2665.168249930781	0.14729438940194217	0.21349678048762233	3.898798990002498	10.55091208757217	8.526351546512732	2.6308000731545382	0.2449615368390674	0.24356315896241945	0.2647340665306158	0.24674123766789735
8000	-4780.37355658162	-4788.238065469626	7.864508888006821	-1370.6807657459367	-751.5965479069087	-2665.9607518167813	0.16572990403090235	0.2544353109479244	3.846084041179789	9.974221406545164	8.02545884150537	2.6308000731545382	0.2449615368390674	0.24356315896241945	0.2568031852759866	0.25467211892252656
9000	-4785.998832218243	-4792.391271041261	6.392438823018427	-1376.1100637350282	-752.6599541458958	-2663.6212531603364	0.1783454540227809	0.24976041389169662	3.749299662735419	8.50215134155677	10.83034370774539	2.6308000731545382	0.23604038943615585	0.24356315896241945	0.26572433267889817	0.25467211892252656
10000	-4785.54323415988	-4792.485676547065	6.942442387184727	-1369.895897894576	-750.0100180414879	-2672.579760611001	0.18235262051337545	0.24669521006651163	3.3814004150755594	9.05215490572307	8.386095290213422	2.6308000731545382	0.23604038943615585	0.24356315896241945	0.26572433267889817	0.25467211892252656
11000	-4785.584030705064	-4792.654119987211	7.070089282147267	-1376.5103374260957	-751.7404867573013	-2664.4032958038138	0.1680147001678876	0.26445753890141	3.5653332856812647	9.17980180068561	9.45236006354784	2.6308000731545382	0.24043133361119795	0.24356315896241945	0.26572433267889817	0.25028117474748446
12000	-4782.697455687026	-4791.335461503321	8.638005816295381	-1374.817808269832	-751.4460566642583	-2665.0715965692307	0.14624206668346093	0.349521036625376	4.174328654456394	10.747718334833724	9.601978474961145	2.6308000731545382	0.24287065661501378	0.248158555392852	0.2586896132446498	0.25028117474748446
13000	-4782.745646985949	-4790.848931134495	8.103284148545447	-1372.4921973821959	-752.3985418160404	-2665.958191936258	0.15000487872820883	0.26586101916702415	4.021995784348496	10.21299666708379	11.72529627850954	2.6308000731545382	0.24287065661501378	0.248158555392852	0.2586896132446498	0.25028117474748446
14000	-4782.870590676267	-4790.098672532794	7.228081856526712	-1376.132413471431	-752.1700032083679	-2661.7962558529953	0.16911693557884397	0.30206349064377896	3.9340844930642405	9.337201517726665	8.190727408482486	2.629207199652985	0.2437924312928946	0.248158555392852	0.2586896132446498	0.24935940006960364
15000	-4780.0157479873105	-4787.677809660275	7.66206167296451	-1372.398911074252	-751.5761481134102	-2663.7027504726125	0.15529350651678708	0.2821177100661303	4.077184507452626	9.771181334164464	5.834040249032013	2.629207199652985	0.2356347095035627	0.248158555392852	0.2586896132446498	0.25751712185893555
16000	-4782.31073840063	-4790.057195488143	7.74645708751318	-1371.9349408207954	-752.712124205757	-2665.4101304615915	0.16155329544285424	0.24170766161500626	3.8766572443690928	9.847751369868458	10.497917616384946	2.60821339458385	0.2356347095035627	0.248158555392852	0.2586896132446498	0.25751712185893555
17000	-4783.1971161279	-4790.6393185882325	7.4422024603330055	-1374.169932963783	-750.9730403827117	-2665.496345241738	0.16368783444970783	0.34375853246319177	3.786133449768733	9.543496742688284	10.725336014396708	2.60821339458385	0.22803895128137705	0.248158555392852	0.2634512315858023	0.2603512617399687
18000	-4785.092495279324	-4794.271541431336	9.179046152012651	-1378.3046311277294	-752.6719963734596	-2663.2949139301472	0.13815586101340513	0.41508585424348565	4.572307042855881	11.280340434367929	9.637178543376267	2.60821339458385	0.22803895128137705	0.248158555392852	0.2634512315858023	0.2603512617399687
19000	-4786.85726983279	-4795.676717322613	8.819447489823107	-1377.8500205825296	-750.7010380849465	-2667.125658655136	0.14227911432663978	0.38141369363278527	4.594058285721557	10.920741772178385	10.632498114007811	2.60821339458385	0.22803895128137705	0.2519940537005574	0.2634512315858023	0.2565157634322633
20000	-4781.871991065158	-4789.295070893265	7.423079828107321	-1375.8793470091605	-752.2415558675546	-2661.1741680165496	0.16730793641011468	0.3134710865735502	3.584507540816015	9.524374110462599	7.661607190888429	2.60821339458385	0.22803895128137705	0.2519940537005574	0.2634512315858023	0.2565157634322633
21000	-4786.560159496829	-4793.403521435741	6.843361938911665	-1379.2870420346374	-754.098600400403	-2660.0178790007	0.17581661855654612	0.3246215166015225	3.7274395093267225	8.944656221266943	9.272106481198945	2.60821339458385	0.22803895128137705	0.2519940537005574	0.2634512315858023	0.2565157634322633
22000	-4781.339463389932	-4788.230156049578	6.8906926596462394	-1371.2239488284422	-750.822324095974	-2666.183883125162	0.1740684018590104	0.2693959331165764	3.681479533629578	8.991986942001517	10.44666445013003	2.60821339458385	0.22803895128137705	0.2519940537005574	0.2634512315858023	0.2565157634322633
23000	-4783.8735052051425	-4790.916986742235	7.043481537092392	-1374.3089293593055	-752.2388368688776	-2664.3692205140524	0.17208414250802687	0.30773657779374924	3.6875303048134596	9.14477581944767	6.880931885700664	2.60821339458385	0.22803895128137705	0.2519940537005574	0.2634512315858023	0.2565157634322633
24000	-4787.647270824453	-4794.2897625419655	6.642491717513009	-1378.0384835460036	-754.8891816136456	-2661.3620973823163	0.16914012505906514	0.2293671198210982	3.5272062874457815	8.743785999868287	5.089865222138988	2.60821339458385	0.23054144110845098	0.2519940537005574	0.2655406236369995	0.2519238815539922
25000	-4783.03523749375	-4790.600898413517	7.565660919767069	-1371.5207469763473	-751.5239879169345	-2667.5561635202353	0.16833987200324854	0.24754013563849675	3.8597025161443486	9.666955202122347	7.816217399062245	2.60821339458385	0.23054144110845098	0.26000401435663967	0.2655406236369995	0.24391392089790992
26000	-4785.301888023569	-4792.604575542919	7.302687519349568	-1370.687944127296	-752.5735373226822	-2669.3430940929406	0.17787888893247597	0.22009643530488834	3.391772747404933	9.403981801704846	8.681531424833429	2.60821339458385	0.23152056260078144	0.25902489286430924	0.2655406236369995	0.24391392089790992
27000	-4786.756335679744	-4792.172112643804	5.415776964060194	-1373.5059093714603	-751.3697624493516	-2667.2964408229927	0.17088630522225598	0.3520182664755391	3.810353953850935	7.500082199829023	3.6398287138011796	2.562833579587922	0.23152056260078144	0.27336568814097595	0.2511998283603328	0.24391392089790992
